n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_original_gap,ddgfact_plus_upsilon_bfgs_t1_reform_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_original_runtime,ddgfact_plus_upsilon_bfgs_t1_reform_runtime,local_search_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs_original,z_ddgfact_plus_upsilon_bfgs_t1_reform,bfgs_t1_reform_improvement_over_original,bfgs_t1_reform_runtime_saving,psi_bfgs_original,lambda_min_bfgs_original,feasibility_slack_bfgs_original,psi_bfgs_t1_reform,lambda_min_bfgs_t1_reform,feasibility_slack_bfgs_t1_reform,gamma_min_bfgs_original,gamma_max_bfgs_original,theta_norm_bfgs_original,gamma_min_bfgs_t1_reform,gamma_max_bfgs_t1_reform,theta_norm_bfgs_t1_reform,debug_original_accepted_bfgs_steps,debug_original_accepted_sd_fallback_steps,debug_original_line_search_failures,debug_original_curvature_resets,debug_t1_reform_accepted_bfgs_steps,debug_t1_reform_accepted_sd_fallback_steps,debug_t1_reform_line_search_failures,debug_t1_reform_curvature_resets
63,2,1,0.2855201816336086,0.21672437201135808,0.0920249466432621,0.09202764878506808,9.3920051,0.7033413,42.0626552,13.3724184,1.2840779,-1.0247114808285755,-0.739191299194967,-0.8079871088172175,-0.9326865341853134,-0.9326838320435075,-2.702141805976943e-6,28.6902368,0.05128919988891653,0.051289299888916534,1.0000000000287557e-7,0.05092606126027103,0.05092616126027103,1.0000000000287557e-7,0.5888898093319138,1.8451549414292878,2.292080399105263,0.5622661202610838,1.8298866486097292,2.3220211699411224,100.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
63,3,1,0.40559348787194127,0.31036878752293573,0.1306901072897395,0.13068168304490035,0.0364437,0.0286928,43.9999592,7.9984771,0.1610957,-0.76369825684575,-0.3581047689738087,-0.45332946932281426,-0.6330081495560105,-0.6330165738008496,8.424244839155826e-6,36.0014821,0.05019780462560852,0.050197904625608525,1.0000000000287557e-7,0.05023078969211405,0.050230889692114054,1.0000000000287557e-7,0.5747937796230503,1.678319522727877,2.206007773113551,0.5979406149474076,1.8228439648278458,2.106362251474356,93.0,1.0,1.0,5.0,87.0,0.0,0.0,1.0
63,4,1,0.5403973424543097,0.4297989741762083,0.23233364515700383,0.2323413236077696,0.0518611,0.0323814,29.3854685,7.8134692,0.1611132,-0.6351479363578152,-0.09475059390350545,-0.20534896218160686,-0.40281429120081136,-0.4028066127500456,-7.678450765769007e-6,21.5719993,0.050930738182594484,0.05093083818259449,1.0000000000287557e-7,0.051079156316478996,0.051079256316479,1.0000000000287557e-7,0.5565708113445442,1.8541706670742584,2.370123471051324,0.600953946799016,1.8321704259319642,2.3544711545775403,100.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
63,5,1,0.6053851040171974,0.48268630828587306,0.28789142525283706,0.28789247498714576,0.0428733,0.0293794,25.174509,8.669343,0.1681601,-0.5103479656768907,0.09503713834030675,-0.027661657391017634,-0.2224565404240536,-0.2224554906897449,-1.0497343087001454e-6,16.505166000000003,0.05080602867748077,0.05080612867748077,1.0000000000287557e-7,0.05115440559395096,0.05115450559395096,1.0000000000287557e-7,0.6286169781705641,1.847250529315889,2.2573381453933146,0.6390697349924352,1.8229569429760313,2.261321101471366,100.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0
63,6,1,0.6815855822931239,0.5490011193220861,0.3625537493409871,0.3625694059801402,0.0555735,0.030279,36.8618796,18.7956234,0.3141663,-0.43605479872604114,0.2455307835670828,0.1129463205960449,-0.07350104938505403,-0.07348539274590093,-1.5656639153094343e-5,18.0662562,0.04999255984503812,0.049992659845038125,1.0000000000287557e-7,0.04998103205152747,0.049981132051527474,1.0000000000287557e-7,0.6787000980596158,1.724310321238361,2.0208084371264903,0.6644843242784132,1.7585476219704033,2.024448032910349,100.0,0.0,0.0,0.0,99.0,1.0,0.0,1.0
63,7,1,0.7401941319125689,0.6000721185455749,0.4099745437110374,0.40997621038651755,0.0670003,0.0303506,36.6378318,10.617427,0.330755,-0.3639521729325684,0.3762419589800005,0.23611994561300653,0.046022370778469046,0.046024037453949174,-1.6666754801275552e-6,26.0204048,0.04989117876689602,0.04989127876689602,1.0000000000287557e-7,0.05024111731617639,0.050241217316176395,1.0000000000287557e-7,0.6915702478611505,1.7799119351913735,2.04964222856393,0.6964493060377702,1.767619276694458,2.0248762474125557,93.0,1.0,1.0,3.0,100.0,0.0,0.0,0.0
63,8,1,0.7905936867415018,0.6442217709946124,0.4501507843483711,0.6442873910462956,0.0623567,0.0286257,32.9017868,3.0589966,0.1895288,-0.3007877241450903,0.4898059625964115,0.3434340468495221,0.14936306020328077,0.3434996669012053,-0.19413660669792454,29.842790200000003,0.049213156206665346,0.04921325620666535,1.0000000000287557e-7,0.031751420750571524,0.03175152075057153,1.0000000000287557e-7,0.7260689301832538,1.6758627074235195,1.928598768608716,0.9997756353764355,1.0003921794606019,0.0010312882986561666,100.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0
63,9,1,0.841102816571041,0.6894286149963116,0.49129699478223193,0.68947775663617,0.0582422,0.0271736,36.4656765,1.7196329,0.2470253,-0.25076415255643086,0.5903386640146101,0.43866446243988066,0.24053284222580107,0.4387136040797391,-0.19818076185393801,34.7460436,0.049233810339932293,0.049233910339932296,1.0000000000287557e-7,0.03174674713902973,0.031746847139029734,1.0000000000287557e-7,0.7264260977476796,1.7191035262565437,1.8941055723373619,0.9997759878436794,1.000178325086823,0.0007240005177908875,89.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
63,10,1,0.8926100182430377,0.7364439494110093,0.5355093363413179,0.5355060656566131,0.0781267,0.0280827,30.7586724,11.320657,0.4169662,-0.21148511129028397,0.6811249069527537,0.5249588381207254,0.32402422505103395,0.32402095436632905,3.270684704903548e-6,19.438015399999998,0.049375149779069434,0.04937524977906944,1.0000000000287557e-7,0.04909896891003332,0.04909906891003332,1.0000000000287557e-7,0.7257533838541143,1.7075549822125944,1.9308619434622607,0.7234629903750013,1.7869331379966131,1.9491167229776265,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63,11,1,0.9472280269131887,0.7872314407887592,0.5837469192356571,0.7872880799303545,0.0798282,0.0305222,33.2538854,4.5071085,0.2695294,-0.1831102322769038,0.7641177946362849,0.6041212085118554,0.4006366869587533,0.6041778476534507,-0.2035411606946974,28.7467769,0.04924282971074506,0.049242929710745065,1.0000000000287557e-7,0.03174811592434655,0.031748215924346554,1.0000000000287557e-7,0.740636258270301,1.6528763243495255,1.8637112057497962,0.9997744104969081,1.000307214771081,0.0008362583133710649,100.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
63,12,1,0.9950240853448115,0.8317275284112297,0.6253055306405627,0.8318445064222689,0.0569812,0.0267732,34.7247813,2.3902521,0.3068761,-0.1544059269340529,0.8406181584107586,0.6773216014771768,0.4708996037065098,0.6774385794882161,-0.20653897578170627,32.3345292,0.04905631272576173,0.049056412725761736,1.0000000000287557e-7,0.03175210314132483,0.03175220314132483,1.0000000000287557e-7,0.7367285185395214,1.7824670338476918,1.8847104496693745,0.9997939186571682,1.0010637508014368,0.0013629762321879903,100.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
