n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_levenberg_gap,ddgfact_plus_upsilon_regbfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_levenberg_runtime,ddgfact_plus_upsilon_regbfgs_runtime,local_search_runtime,spectral_runtime,vf_ddgfact_runtime,vf_ddgfact_plus_runtime,vf_ddgfact_plus_upsilon_bfgs_runtime,vf_ddgfact_plus_upsilon_levenberg_runtime,vf_ddgfact_plus_upsilon_regbfgs_runtime,n_fixed_ddgfact_dual,n_fixed_ddgfact_plus_dual,n_fixed_ddgfact_plus_primal,n_fixed_ddgfact_plus_union,n_fixed_ddgfact_plus_upsilon_bfgs_dual,n_fixed_ddgfact_plus_upsilon_bfgs_primal,n_fixed_ddgfact_plus_upsilon_bfgs_union,n_fixed_ddgfact_plus_upsilon_levenberg_dual,n_fixed_ddgfact_plus_upsilon_levenberg_primal,n_fixed_ddgfact_plus_upsilon_levenberg_union,n_fixed_ddgfact_plus_upsilon_regbfgs_dual,n_fixed_ddgfact_plus_upsilon_regbfgs_primal,n_fixed_ddgfact_plus_upsilon_regbfgs_union,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_levenberg,z_ddgfact_plus_upsilon_regbfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_levenberg,lambda_min_upsilon_levenberg,feasibility_slack_upsilon_levenberg,psi_upsilon_regbfgs,lambda_min_upsilon_regbfgs,feasibility_slack_upsilon_regbfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_levenberg,gamma_max_upsilon_levenberg,theta_norm_upsilon_levenberg,theta_norm_inf_upsilon_levenberg,gamma_min_upsilon_regbfgs,gamma_max_upsilon_regbfgs,theta_norm_upsilon_regbfgs,theta_norm_inf_upsilon_regbfgs,levenberg_num_evals,levenberg_cache_size,levenberg_final_lambda,levenberg_final_B_norm,regbfgs_num_evals,regbfgs_cache_size,regbfgs_final_mu,regbfgs_final_H_norm,regbfgs_final_H_min_eig,regbfgs_final_H_max_eig,regbfgs_final_B_norm,regbfgs_final_B_min_eig,regbfgs_final_B_max_eig
63,2,1,0.2855203538847346,0.21672423402435204,0.09452056377769213,0.09346643416440281,0.09400734400266608,1.4546796845492647,0.4736994,0.5030387,6.9300732,4.7999237,4.3715728,0.4222462,0.0206749,1.3667856,1.8530535,3.6469749,0.6478819,0.7084919,9.0,38.0,38.0,38.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9301909170508834,-0.9312450466641727,-0.9307041368259095,0.42996820372068917,0.031745640422217065,0.05035450293266127,0.05035460293266127,1.0000000000287557e-7,0.05059329704581658,0.050593397045816585,1.0000000000287557e-7,0.050788386391131715,0.05078848639113172,1.0000000000287557e-7,0.5794456492126857,1.7624176464971208,2.215034551463533,0.566686529220917,0.6061178468793639,1.6831438765960431,2.1072849738397714,0.5206633997282887,0.5881047332866826,1.7870000988428876,2.206661822165772,0.5805382914894818,324.0,324.0,1.0e-10,35054.27969168393,189.0,189.0,1.0e-10,1.6661073469699446,8.659044521471816e-5,1.6661073469699446,11548.618297553418,0.6002014225866256,11548.618297553423
63,3,2,0.506849191718401,0.3776963044372206,0.2127994312324577,0.2128486311075095,0.2134155724982234,2.6285042839927746,0.2521239,0.2163135,16.4238758,8.8300284,5.7764296,0.1369706,0.0002518,0.0020639,0.0053459,0.6413458,0.6178678,0.6387173,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.45497676546866,-2.454927565593608,-2.454360624202894,-0.03927191270834318,0.031745640422217065,0.04885755710870281,0.04885765710870281,1.0000000000287557e-7,0.04898797255361445,0.04898807255361445,1.0000000000287557e-7,0.049483426049802534,0.04948352604980254,1.0000000000287557e-7,0.6701625364640138,1.6647700834807295,1.8936796938554485,0.5096870258978197,0.6936771141563632,1.6815469061649269,1.87651708611043,0.5197141472387494,0.6728187581743029,1.7911789893582974,2.0287837470686667,0.5828740563085881,220.0,220.0,1.0e-10,283176.50557731977,167.0,167.0,1.0e-10,2.19365175734635,0.0001131280654702263,2.19365175734635,8839.53947098276,0.4558608705468957,8839.539470982772
63,4,3,0.5650200573699395,0.4074009607190554,0.22661844232105732,0.2267111344655559,0.2265930011076378,3.765417298825742,0.0282601,0.0201086,14.7603666,13.5061086,8.5037782,0.1332336,0.0002758,0.0012345,0.0022313,0.6750233,0.6149634,0.6946724,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.19327515096222,-4.193182458817722,-4.19330059217564,-0.6544762944575357,0.031745640422217065,0.04882191615174461,0.04882201615174461,1.0000000000287557e-7,0.04881631846211566,0.048816418462115665,1.0000000000287557e-7,0.047987985139984445,0.04798808513998445,1.0000000000287557e-7,0.6541793886891932,1.6143078321054856,1.815785852750982,0.4789062778734027,0.6978404892289656,1.6526871474047709,1.7779287412792737,0.5024025374083023,0.7193035793189196,1.6167524713550547,1.8015812995800142,0.48041948993783307,306.0,306.0,1.0e-10,41361.98098469213,192.0,192.0,1.0e-10,1.2882462333553655,9.022355266345513e-6,1.2882462333553655,110835.80400897322,0.7762491160300744,110835.80400897327
63,5,4,0.6138181223720123,0.4417914695274616,0.2521788882248224,0.2523549895952,0.252634749377739,4.3129182419840815,0.0364937,0.0986635,19.0031644,17.617718,10.1525048,0.1478359,0.0002274,0.0014293,0.0020568,0.6322982,0.6879617,0.6512821,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957752349567711,-5.957576248197333,-5.957296488414794,-1.8970129958084518,0.031745640422217065,0.04869221016902078,0.048692310169020786,1.0000000000287557e-7,0.048557029362611547,0.04855712936261155,1.0000000000287557e-7,0.0482691737150727,0.048269273715072704,1.0000000000287557e-7,0.7014414505378805,1.6373106275622498,1.838878751977176,0.49305503454937727,0.7172223480818806,1.6773689020065004,1.8054530263843822,0.5172264359939686,0.6679761364328348,1.7290222108660662,1.8460126135272457,0.5475560526950264,338.0,338.0,1.0e-10,111877.56242772142,207.0,207.0,1.0e-10,1.631588798136169,2.3809451378482987e-5,1.631588798136169,42000.12776874454,0.6128995252843009,42000.1277687446
63,6,5,0.6601807515487481,0.47119026212415704,0.2855984655985031,0.2855544334369897,0.28557442995089843,4.807601544662485,0.0565326,0.0168774,20.2567939,16.9347831,10.8794395,0.1744541,0.0006849,0.0013803,0.0022912,0.6477565,0.7030534,0.6723276,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.7433945933211,-7.7434386254826135,-7.743418628968705,-3.2213915142571183,0.031745640422217065,0.048101951794658836,0.04810205179465884,1.0000000000287557e-7,0.04773025060632016,0.047730350606320165,1.0000000000287557e-7,0.04835859093251629,0.048358690932516296,1.0000000000287557e-7,0.7039742058054693,1.6019181278859964,1.7214950344389814,0.47120174115168517,0.7427609653330753,1.6033930934078369,1.708031385636618,0.47212206715070193,0.7083556935569352,1.6317770740893236,1.6923349920155768,0.48966965045273536,312.0,312.0,1.0e-10,150596.35592473467,201.0,201.0,1.0e-10,1.5220450925295514,3.2472540382261585e-5,1.5220450925295514,30795.250024425415,0.6570107579308658,30795.250024425426
63,7,6,0.6432022688058741,0.4337453940981568,0.2597238599969849,0.25973178304693967,0.25972785542725596,5.186903520830602,0.0421844,0.0221985,23.0190751,19.2694107,13.7876153,0.1672126,0.0006832,0.001293,0.0036357,0.7203863,0.6517019,0.6286631,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.864280871252262,-9.221078602446388,-9.430535477154105,-9.604557011255277,-9.604549088205323,-9.604553015825006,-4.6773773504216605,0.031745640422217065,0.047238267131826786,0.04723836713182679,1.0000000000287557e-7,0.04680782482362093,0.046807924823620936,1.0000000000287557e-7,0.04715722555125755,0.04715732555125755,1.0000000000287557e-7,0.7447233051827657,1.7026242660100763,1.5658118837101853,0.5321707466921556,0.774239981402866,1.5798573667304099,1.5379254212355953,0.45733456874265305,0.7710208599549577,1.5923164882092307,1.5365050427451201,0.46518986679066465,341.0,341.0,1.0e-10,64706.88660531556,227.0,227.0,1.0e-10,1.4401521750427577,8.50802836749044e-6,1.4401521750427577,117536.0444049581,0.694371065214893,117536.04440495805
63,8,7,0.7259195683788153,0.49668552180379777,0.3220438943241213,0.32189539166467007,0.3222774827617343,5.520773692935021,0.0440069,0.0232821,22.9209858,21.2380926,14.2206792,0.1991929,0.000212,0.001925,0.0077823,0.6762372,0.6142897,0.6710578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.849859469951937,-11.123939901573122,-11.35317394814814,-11.527815575627816,-11.527964078287267,-11.527581987190203,-6.329085777016917,0.031745640422217065,0.04626188055993707,0.04626198055993707,1.0000000000287557e-7,0.046295145301933016,0.04629524530193302,1.0000000000287557e-7,0.04601278047920822,0.04601288047920822,1.0000000000287557e-7,0.704925091914303,1.6751447010157334,1.5521556658551954,0.5158995502118534,0.7040410730354263,1.6344907584180546,1.4372866697929039,0.49133129309337215,0.7765454956003119,1.5167685358014877,1.4349349159690654,0.4165821085017029,359.0,359.0,1.0e-10,34787.192775706586,247.0,247.0,1.0e-10,1.3753111179626831,1.2421752199088664e-5,1.3753111179626831,80503.94050473526,0.7271082061372548,80503.9405047353
63,9,8,0.7694657443394028,0.520278377250424,0.34747301549958287,0.3473225429883531,0.34741853101334463,5.825502913022834,0.0385229,0.0303881,29.9174787,30.6768828,15.6249083,0.2279028,0.0002853,0.0013195,0.0022942,0.7532444,0.6363725,0.6485372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.83646540496288,-13.066999660623477,-13.316187027712456,-13.488992389463297,-13.489142861974527,-13.489046873949535,-8.010962491940045,0.031745640422217065,0.045340795554178734,0.04534089555417874,1.0000000000287557e-7,0.045284860786476956,0.04528496078647696,1.0000000000287557e-7,0.04516508933461769,0.045165189334617696,1.0000000000287557e-7,0.7767300063374317,1.6086593377302902,1.3461390269837772,0.47540112261694867,0.7411939542390578,1.5131875802721066,1.4183213755911797,0.41421840615126687,0.7844238737814093,1.4917417182857622,1.3690547142489533,0.39994437572759456,427.0,427.0,1.0e-10,4.716009026680925e6,237.0,237.0,1.0e-10,1.458881306682445,1.8984590921298865e-5,1.458881306682445,52674.29802124917,0.6854567230888386,52674.29802124919
63,10,9,0.7868548000581583,0.5171894114261377,0.3442734236254168,0.3439458300285647,0.34385456105278145,6.046134868054011,0.0761095,0.0284106,30.7838469,27.6395923,15.9996771,0.2590215,0.0003844,0.0037149,0.0023464,0.6245641,0.65464,0.6844832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.833599641480138,-15.04674484142198,-15.316410230054,-15.489326217854721,-15.489653811451573,-15.489745080427356,-9.787464773426127,0.031745640422217065,0.04484551113125483,0.044845611131254834,1.0000000000287557e-7,0.04468232322010349,0.04468242322010349,1.0000000000287557e-7,0.04419782854481349,0.04419792854481349,1.0000000000287557e-7,0.7957653754517,1.5786174315748034,1.2541915516947864,0.45654942065790716,0.8263517402632682,1.5689361645237603,1.1981385013514039,0.4503977874699124,0.8072423409945094,1.5189321546949086,1.297098690200203,0.41800755816250135,393.0,393.0,1.0e-10,41226.452170862714,246.0,246.0,1.0e-10,1.2356417354485774,2.6335892145941806e-5,1.2356417354485774,37970.99389906531,0.8092960695548244,37970.99389906527
63,11,10,0.8417374349416136,0.5548658166118265,0.38084008959450344,0.3803417886049054,0.38152488383977357,6.247254926580432,0.0472877,0.0567521,31.0351634,31.5807601,15.018819,0.2565147,0.0005248,0.0018607,0.0079706,0.6917016,0.6309834,0.6020384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.903583856570837,-17.061846421629223,-17.34871803995901,-17.522743766976333,-17.52324206796593,-17.522058972731063,-11.656328929990405,0.031745640422217065,0.044457464114910576,0.04445756411491058,1.0000000000287557e-7,0.0447746012774262,0.0447747012774262,1.0000000000287557e-7,0.04393273441108052,0.04393283441108052,1.0000000000287557e-7,0.7805138725160775,1.5284523705908335,1.219437077391448,0.4242557009805682,0.7332518089550929,1.5153099318114742,1.2462212209886587,0.4156199934917463,0.8296136954629902,1.5568483253130154,1.3198682909411472,0.44266347340732926,437.0,437.0,1.0e-10,45665.21315801266,227.0,227.0,1.0e-10,2.6778343958689295,5.0032669595508406e-5,2.6778343958689295,19986.940694641024,0.37343608748730217,19986.940694641013
63,12,11,0.8841736466043955,0.5814876034725955,0.4092037450417152,0.40869693262289175,0.4107445716262781,6.374281108499233,0.0472476,0.0263622,35.1495608,29.2653088,13.586685,0.3104787,0.0002741,0.001296,0.0022397,0.6500254,0.6991429,0.6863356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.98567567979847,-19.101502033194073,-19.404188076325873,-19.576471934756754,-19.576978747175577,-19.57493110817219,-13.611394571299236,0.031745640422217065,0.0441403919005356,0.0441404919005356,1.0000000000287557e-7,0.04414841696856885,0.044148516968568856,1.0000000000287557e-7,0.043404139411214855,0.04340423941121486,1.0000000000287557e-7,0.8076799766919455,1.5811995636818597,1.1447859520682209,0.4581837764992091,0.7924941890461512,1.4642735122032624,1.124600951399395,0.38135922336490385,0.8058212645752553,1.5938015450464924,1.1920749818737755,0.4661220713915644,433.0,433.0,1.0e-10,42304.40728161133,215.0,215.0,5.0e-10,1.6876531478608208,5.176749838993201e-5,1.6876531478608208,19317.139732494,0.5925388166541923,19317.13973249399
63,13,12,0.9245449877345244,0.6036876655989225,0.43367464045305226,0.4336359762188913,0.4340183367629642,6.496470071702937,0.0438269,0.0549431,37.2625651,34.4411963,16.3871108,0.4175153,0.0002833,0.0032734,0.002377,0.7555083,0.7073174,0.7474485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.093189730933478,-21.168644743198954,-21.489502065334555,-21.659515090480426,-21.659553754714587,-21.659171394170514,-15.59671965923054,0.031745640422217065,0.04357464433209959,0.04357474433209959,1.0000000000287557e-7,0.042977190108321205,0.04297729010832121,1.0000000000287557e-7,0.04268526091975343,0.04268536091975343,1.0000000000287557e-7,0.833781457666127,1.416208421501716,1.0293372433182508,0.3479831747661656,0.8288946112472431,1.4122908381660109,1.0518839780763563,0.34521309389914995,0.856237415377635,1.4371932774261162,1.0736204493717763,0.3626920986969661,482.0,482.0,1.0e-10,102740.47009462,260.0,260.0,1.0e-10,1.1666015625010442,5.378561255982835e-5,1.1666015625010442,18592.332640771667,0.8571906913440678,18592.33264077166
63,14,13,0.9414415702963765,0.6068605009634886,0.43723451532904534,0.4368659345835617,0.43689682911410443,6.544040821912834,0.0464095,0.029185,33.3508194,32.5864417,15.7775871,0.5214835,0.0001942,0.0013652,0.0036734,0.6735735,0.6367264,0.7039725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.202925490966894,-23.261483920670518,-23.596064990003406,-23.76569097563785,-23.766059556383333,-23.76602866185279,-17.65888466905406,0.031745640422217065,0.04253731800467963,0.04253741800467963,1.0000000000287557e-7,0.04275925538816496,0.042759355388164964,1.0000000000287557e-7,0.042320949509592976,0.04232104950959298,1.0000000000287557e-7,0.8554208420805416,1.4559963971459373,1.028237477071591,0.37569047528375227,0.8894751101068178,1.4695591804069368,0.9906685493795163,0.38496247854427146,0.8561671705219713,1.3873013777896708,1.0734125165011779,0.3273604052487702,469.0,469.0,1.0e-10,19679.73864131419,234.0,234.0,1.0e-10,1.1951237753566473,8.725946132188465e-5,1.1951237753566473,11460.075329953826,0.8367334166555835,11460.075329953837
63,15,14,0.9601175955162375,0.608756115155245,0.4407551928553275,0.4406328853681778,0.4423004666170698,6.583517300447877,0.0476283,0.0550689,29.572948,34.0622218,12.7558017,0.4680559,0.0002048,0.0019016,0.0082457,0.6859577,0.7272306,0.6163763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.330665896188428,-25.37054830067219,-25.721909781033183,-25.8899107033331,-25.89003301082025,-25.88836542957136,-19.74714859574055,0.031745640422217065,0.042577979293994116,0.04257807929399412,1.0000000000287557e-7,0.04240092042987965,0.04240102042987965,1.0000000000287557e-7,0.04202132888720752,0.04202142888720752,1.0000000000287557e-7,0.8604301861926388,1.4370626500141457,0.9564388982172526,0.3626012039295145,0.7742208475690777,1.3764047839331883,0.9896898167037198,0.31947487062040547,0.785841967063434,1.43175490717074,1.1043155561333506,0.35890089967952343,478.0,478.0,1.0e-10,84180.61438513934,194.0,194.0,1.0e-10,1.717054982608013,0.00010385813827900372,1.717054982608013,9628.518444203148,0.5823925325381294,9628.51844420316
63,16,15,0.9656428999157534,0.6015074547855228,0.4355460888785849,0.435399047599212,0.4417008152143431,6.630135065484641,0.0415855,0.0263449,28.5750811,30.3153357,12.0226152,0.5065049,0.0005543,0.0013241,0.0022999,0.6948919,0.8026033,0.7198985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.471424607596628,-27.505781707680875,-27.869917152811105,-28.035878518718043,-28.036025559997416,-28.029723792382285,-21.841289542111987,0.031745640422217065,0.04198198965612588,0.04198208965612588,1.0000000000287557e-7,0.0419030128497593,0.041903112849759304,1.0000000000287557e-7,0.041850871436014056,0.04185097143601406,1.0000000000287557e-7,0.7458126312383372,1.491503210271839,1.051691039719874,0.39978447734838474,0.8513173141852783,1.3840911072972752,0.942989506024794,0.32504368400086575,0.795282260075123,1.4599395059584135,1.0380007928233246,0.37839500058676245,448.0,448.0,1.0e-10,16265.980833578717,194.0,194.0,1.0000000000000002e-10,2.2851980926246833,0.00012548656044917937,2.2851980926246833,7968.980872696539,0.43759882480162665,7968.980872696531
63,17,16,0.9800077713106674,0.607230556847739,0.443621073761296,0.44359379391025655,0.4442603717297793,6.644569677975554,0.0819949,0.0245354,25.8649049,26.7267652,12.7162823,0.6467208,0.0003709,0.0019492,0.0074202,0.716923,0.7379668,0.7769239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.63714845368507,-29.657140682374404,-30.029917896837333,-30.193527379923776,-30.193554659774815,-30.192888081955292,-23.992578775709518,0.031745640422217065,0.04162421358816146,0.04162431358816146,1.0000000000287557e-7,0.041806686538491296,0.0418067865384913,1.0000000000287557e-7,0.041498133895750654,0.04149823389575066,1.0000000000287557e-7,0.8901682028931518,1.3697094570060622,0.913877285900744,0.31459864217085626,0.8647899296338968,1.3567451113300861,0.8710220607829401,0.3050885307340166,0.8546858489914556,1.4368421503785678,0.9773514566612929,0.36244775442347626,433.0,433.0,1.0e-10,13039.218714463255,195.0,195.0,1.0e-10,1.162030388292825,0.00010166852617942835,1.162030388292825,9835.885672574344,0.860562692644319,9835.885672574354
63,18,17,0.975694351307709,0.5902173312865884,0.433162425914837,0.43309481731903077,0.4331395506120259,6.612905494120774,0.0437041,0.0247067,26.4982105,25.9685069,12.6550307,0.8565933,0.0002096,0.0013512,0.0056391,0.7012402,0.611301,0.6121609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.80326230253852,-31.82756795123081,-32.21304497125193,-32.370099876623684,-32.37016748521949,-32.370122751926495,-26.190356808417746,0.031745640422217065,0.04113193796503377,0.04113203796503377,1.0000000000287557e-7,0.04153395397191398,0.04153405397191398,1.0000000000287557e-7,0.04119632684370437,0.04119642684370437,1.0000000000287557e-7,0.8608982169924083,1.380690468247484,0.8697520279213768,0.3225837133509078,0.8164710592799241,1.361565598349413,0.823234265301777,0.3086352129107215,0.8754148012233981,1.3965394125450936,0.8902485378052094,0.3339973283787094,424.0,424.0,1.0e-10,23263.45423936792,211.0,211.0,1.0e-10,1.3851134768182085,9.669638264789966e-5,1.3851134768182085,10341.648494145726,0.7219625081972509,10341.648494145724
63,19,18,0.9861698263127039,0.5862925160971884,0.43545955982949636,0.43557500272575567,0.4368399219879322,6.5528731189266765,0.048086,0.0243786,30.5693259,23.1361824,10.0665638,0.8534848,0.0002322,0.0013232,0.0023793,0.6886548,0.735505,0.7438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.00485575496859,-34.018685928655884,-34.4185632388714,-34.56939619513909,-34.56928075224283,-34.568015832980656,-28.45198263604191,0.031745640422217065,0.040931824122533704,0.04093192412253371,1.0000000000287557e-7,0.04097058879610923,0.04097068879610923,1.0000000000287557e-7,0.040905825760215,0.040905925760215005,1.0000000000287557e-7,0.8568305853834277,1.3803271613389625,0.8174918995922292,0.3223205445056783,0.8445576003366215,1.3496183592169773,0.7788611596357058,0.2998218556077306,0.8733525061940156,1.3651912492244385,0.8548114222939067,0.3112945281444617,391.0,391.0,1.0e-10,11662.159350091722,177.0,177.0,1.0e-10,1.0889048543471458,0.00011333572643500365,1.0889048543471458,8823.34310155478,0.9183538817913166,8823.343101554776
63,20,19,0.9827723999388311,0.5697100679295346,0.4262826101211985,0.4262876190581011,0.42851577904330185,6.483300310514828,0.0410799,0.0229774,25.4473669,22.2054047,9.2229148,1.021029,0.0002067,0.0013726,0.0023847,0.761313,0.6441152,0.7329502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.215905021340895,-36.23313262140206,-36.64619495341136,-36.789622411219696,-36.78961740228279,-36.78738924229759,-30.732604710826067,0.031745640422217065,0.040438777966830805,0.04043887796683081,1.0000000000287557e-7,0.040403021937130766,0.04040312193713077,1.0000000000287557e-7,0.04004018295285473,0.040040282952854736,1.0000000000287557e-7,0.8972882074331102,1.3223069090122126,0.7386997765895698,0.2793778695629912,0.8960513178271414,1.307539323031324,0.7588494952515265,0.26814699148085386,0.8773563573972275,1.3999013434787326,0.8663351817960933,0.3364017651943979,394.0,394.0,1.0e-10,21352.993798977004,190.0,190.0,1.0e-10,1.2344726179122776,0.0002646270014528268,1.2344726179122776,3778.903870390704,0.8100625201130329,3778.9038703907036
